City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,11.46,90,100,0.89,US,1730787121
1,saipan,15.1355,145.701,29.39,79,75,5.14,MP,1730787122
2,puerto natales,-51.7236,-72.4875,1.73,82,17,3.13,CL,1730787123
3,sao joao da barra,-21.6403,-41.0511,23.35,87,100,7.08,BR,1730787124
4,wailua homesteads,22.0669,-159.378,23.4,93,34,2.49,US,1730787125
5,edinburgh of the seven seas,-37.0676,-12.3116,13.52,70,80,0.78,SH,1730787127
6,nova vicosa,-17.8919,-39.3719,22.86,89,80,3.27,BR,1730787128
7,utrik,11.2278,169.8474,28.56,80,92,6.85,MH,1730787129
8,ta`u,-14.2336,-169.5144,27.33,83,99,7.28,AS,1730787130
9,taizhou,32.4933,119.9106,17.11,44,0,4.14,CN,1730787131
10,port mathurin,-19.6833,63.4167,24.11,79,31,5.69,MU,1730787132
11,akureyri,65.6835,-18.0878,11.96,71,75,9.77,IS,1730787133
12,harper,4.375,-7.7169,24.7,88,86,2.05,LR,1730787135
13,iqaluit,63.7506,-68.5145,-5.15,63,100,1.03,CA,1730787136
14,adamstown,-25.066,-130.1015,21.12,85,100,8.45,PN,1730787138
15,waitangi,-43.9535,-176.5597,11.57,76,40,1.34,NZ,1730787139
16,grytviken,-54.2811,-36.5092,1.86,96,100,5.86,GS,1730787140
17,senanga,-16.1167,23.2667,26.08,53,60,3.04,ZM,1730787142
18,al bardiyah,31.7561,25.0865,18.44,70,33,2.94,LY,1730787143
19,port augusta,-32.5,137.7667,39.99,13,79,9.49,AU,1730787144
20,ribeira brava,32.65,-17.0667,21.51,74,15,0.75,PT,1730787145
21,chegdomyn,51.1167,133.0167,-4.41,82,100,2.0,RU,1730787146
22,fale old settlement,-9.3852,-171.2468,28.42,73,100,5.93,TK,1730787147
23,haro,42.5763,-2.8476,10.28,94,66,1.37,ES,1730787148
24,albany,42.6001,-73.9662,10.47,84,100,1.28,US,1730787150
25,port alfred,-33.5906,26.891,13.43,98,100,2.24,ZA,1730787151
26,invercargill,-46.4,168.35,13.9,74,46,4.02,NZ,1730787152
27,nadym,65.5333,72.5167,-4.29,88,98,9.06,RU,1730787153
28,badger,64.8,-147.5333,-9.45,88,0,3.6,US,1730787155
29,pisco,-13.7,-76.2167,17.79,88,0,1.54,PE,1730787157
30,bredasdorp,-34.5322,20.0403,14.33,50,98,3.26,ZA,1730787158
31,stanley,54.868,-1.6985,8.07,90,100,0.0,GB,1730787159
32,aasiaat,68.7098,-52.8699,-6.28,93,100,1.27,GL,1730787160
33,ilulissat,69.2167,-51.1,-4.99,80,100,1.54,GL,1730787162
34,margaret river,-33.95,115.0667,15.68,55,59,6.83,AU,1730787163
35,west island,-12.1568,96.8225,28.99,79,75,7.2,CC,1730787165
36,chibougamau,49.9168,-74.3659,0.79,100,100,4.63,CA,1730787166
37,mirabad,30.4362,61.8383,31.91,12,0,4.26,AF,1730787167
38,bilibino,68.0546,166.4372,-22.58,99,100,0.7,RU,1730787168
39,robore,-18.3333,-59.75,26.15,64,42,1.66,BO,1730787169
40,yellowknife,62.456,-114.3525,-3.1,99,100,2.57,CA,1730787170
41,port-aux-francais,-49.35,70.2167,6.49,91,100,19.64,TF,1730787172
42,adamovka,51.5223,59.9396,0.82,56,100,6.71,RU,1730787173
43,puerto ayora,-0.7393,-90.3518,19.39,74,55,3.38,EC,1730787174
44,hawaiian paradise park,19.5933,-154.9731,23.28,99,100,5.14,US,1730787175
45,zhosaly,45.4878,64.0781,4.89,48,99,5.05,KZ,1730787176
46,nar'yan-mar,67.6713,53.087,-2.71,89,100,4.35,RU,1730787177
47,zheleznogorsk,52.331,35.3711,-1.26,86,100,5.51,RU,1730787178
48,igarka,67.4667,86.5833,-6.46,94,68,8.13,RU,1730787180
49,bandarbeyla,9.4942,50.8122,27.7,63,35,2.54,SO,1730787181
50,acapulco de juarez,16.8634,-99.8901,26.9,83,100,3.09,MX,1730787120
51,noumea,-22.2763,166.4572,23.72,67,29,8.16,NC,1730787183
52,bonga,7.2833,36.2333,19.54,75,71,1.15,ET,1730787184
53,peniche,39.3558,-9.3811,20.11,92,13,7.94,PT,1730787185
54,cotacachi,0.3,-78.2667,13.22,87,81,0.3,EC,1730787186
55,brokopondo,4.75,-55.1667,25.64,74,21,3.57,SR,1730787188
56,ushuaia,-54.8,-68.3,2.78,99,84,1.5,AR,1730787003
57,langxiang,46.95,128.8833,-0.55,50,98,2.1,CN,1730787190
58,la passe,45.5549,-0.8967,14.11,94,57,4.3,FR,1730787191
59,lospalos,-8.5186,127.0025,29.2,55,97,5.23,TL,1730787192
60,sarkand,45.41,79.9186,11.88,75,100,1.15,KZ,1730787193
61,tiksi,71.6872,128.8694,-23.36,98,88,2.95,RU,1730787196
62,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,51,75,2.0,RU,1730787197
63,aras-asan,8.8908,126.3033,28.36,71,95,2.5,PH,1730787198
64,marsabit,2.3284,37.9899,20.61,71,73,6.67,KE,1730787199
65,xilin hot,43.9667,116.0333,1.54,26,0,4.46,CN,1730787200
66,volokonovka,50.4827,37.8563,-1.81,84,100,5.78,RU,1730787201
67,kaspiyskiy,45.3929,47.3707,4.61,64,100,13.5,RU,1730787203
68,wotho,10.1657,166.0102,27.76,76,80,4.0,MH,1730787204
69,mahina,-17.5065,-149.489,26.87,83,0,2.06,PF,1730787205
70,canavieiras,-15.675,-38.9472,22.71,91,78,1.55,BR,1730787206
71,nuuk,64.1835,-51.7216,-4.66,80,100,3.09,GL,1730787207
72,nizhneangarsk,55.7833,109.55,-3.91,71,94,0.67,RU,1730787208
73,ribeira grande,38.5167,-28.7,20.99,80,50,6.26,PT,1730787209
74,blackmans bay,-43.0167,147.3167,19.18,51,1,3.76,AU,1730787211
75,lebu,-37.6167,-73.65,8.34,90,1,2.05,CL,1730787212
76,hermanus,-34.4187,19.2345,13.78,57,76,5.7,ZA,1730787213
77,whitehorse,60.7161,-135.0538,-11.57,92,0,2.06,CA,1730787214
78,lucea,18.451,-78.1736,25.92,83,99,5.2,JM,1730787215
